day,region_id,susceptible,infected,recovered,dead
23,2,7799999,0,1,0
23,3,6759999,0,1,0
23,4,5099999,0,1,0
23,5,2699999,0,1,0
23,6,2399999,0,1,0
23,7,2199999,0,1,0
23,8,2199999,0,1,0
23,9,1999999,0,1,0
23,10,1499999,0,1,0
23,11,1299999,0,1,0
23,12,999999,0,1,0
23,13,1199999,0,1,0
23,14,1049999,0,1,0
23,15,659999,0,1,0
23,16,579999,0,1,0
23,17,319999,0,1,0
23,18,84999,0,1,0
23,19,86999,0,1,0
24,1,8469999,0,1,0
24,2,7799999,0,1,0
24,3,6759999,0,1,0
24,4,5099999,0,1,0
24,5,2699999,0,1,0
24,6,2399999,0,1,0
24,7,2199999,0,1,0
24,8,2199999,0,1,0
24,9,1999999,0,1,0
24,10,1499999,0,1,0
24,11,1299999,0,1,0
24,12,999999,0,1,0
24,13,1199999,0,1,0
24,14,1049999,0,1,0
24,15,659999,0,1,0
24,16,579999,0,1,0
24,17,319999,0,1,0
24,18,84999,0,1,0
24,19,86999,0,1,0
25,1,8469999,0,1,0
25,2,7799999,0,1,0
25,3,6759999,0,1,0
25,4,5099999,0,1,0
25,5,2699999,0,1,0
25,6,2399999,0,1,0
25,7,2199999,0,1,0
25,8,2199999,0,1,0
25,9,1999999,0,1,0
25,10,1499999,0,1,0
25,11,1299999,0,1,0
25,12,999999,0,1,0
25,13,1199999,0,1,0
25,14,1049999,0,1,0
25,15,659999,0,1,0
25,16,579999,0,1,0
25,17,319999,0,1,0
25,18,84999,0,1,0
25,19,86999,0,1,0
26,1,8469999,0,1,0
26,2,7799999,0,1,0
26,3,6759999,0,1,0
26,4,5099999,0,1,0
26,5,2699999,0,1,0
26,6,2399999,0,1,0
26,7,2199999,0,1,0
26,8,2199999,0,1,0
26,9,1999999,0,1,0
26,10,1499999,0,1,0
26,11,1299999,0,1,0
26,12,999999,0,1,0
26,13,1199999,0,1,0
26,14,1049999,0,1,0
26,15,659999,0,1,0
26,16,579999,0,1,0
26,17,319999,0,1,0
26,18,84999,0,1,0
26,19,86999,0,1,0
27,1,8469999,0,1,0
27,2,7799999,0,1,0
27,3,6759999,0,1,0
27,4,5099999,0,1,0
27,5,2699999,0,1,0
27,6,2399999,0,1,0
27,7,2199999,0,1,0
27,8,2199999,0,1,0
27,9,1999999,0,1,0
27,10,1499999,0,1,0
27,11,1299999,0,1,0
27,12,999999,0,1,0
27,13,1199999,0,1,0
27,14,1049999,0,1,0
27,15,659999,0,1,0
27,16,579999,0,1,0
27,17,319999,0,1,0
27,18,84999,0,1,0
27,19,86999,0,1,0
28,1,8469999,0,1,0
28,2,7799999,0,1,0
28,3,6759999,0,1,0
28,4,5099999,0,1,0
28,5,2699999,0,1,0
28,6,2399999,0,1,0
28,7,2199999,0,1,0
28,8,2199999,0,1,0
28,9,1999999,0,1,0
28,10,1499999,0,1,0
28,11,1299999,0,1,0
28,12,999999,0,1,0
28,13,1199999,0,1,0
28,14,1049999,0,1,0
28,15,659999,0,1,0
28,16,579999,0,1,0
28,17,319999,0,1,0
28,18,84999,0,1,0
28,19,86999,0,1,0
29,1,8469999,0,1,0
29,2,7799999,0,1,0
29,3,6759999,0,1,0
29,4,5099999,0,1,0
29,5,2699999,0,1,0
29,6,2399999,0,1,0
29,7,2199999,0,1,0
29,8,2199999,0,1,0
29,9,1999999,0,1,0
29,10,1499999,0,1,0
29,11,1299999,0,1,0
29,12,999999,0,1,0
